Model,Method,Dataset,Temperature,AuPRC (%),FPR95 (%)
EoMT-Cityscapes,MSP,RoadAnomaly21,0.5,74.21,33.73
EoMT-Cityscapes,MSP,RoadAnomaly21,0.75,74.29,33.73
EoMT-Cityscapes,MSP,RoadAnomaly21,1.0,74.36,33.73
EoMT-Cityscapes,MSP,RoadAnomaly21,1.1,74.4,33.73
EoMT-Cityscapes,MSP,RoadAnomaly21,1.5,74.5,33.73
EoMT-Cityscapes,MSP,RoadAnomaly21,2.0,74.55,33.73
EoMT-Cityscapes,MSP,RoadObsticle21,0.5,90.1,0.55
EoMT-Cityscapes,MSP,RoadObsticle21,0.75,90.11,0.55
EoMT-Cityscapes,MSP,RoadObsticle21,1.0,90.11,0.55
EoMT-Cityscapes,MSP,RoadObsticle21,1.1,90.11,0.55
EoMT-Cityscapes,MSP,RoadObsticle21,1.5,90.11,0.55
EoMT-Cityscapes,MSP,RoadObsticle21,2.0,90.11,0.55
EoMT-Cityscapes,MSP,FS_LostFound_full,0.5,25.4,14.91
EoMT-Cityscapes,MSP,FS_LostFound_full,0.75,25.41,14.91
EoMT-Cityscapes,MSP,FS_LostFound_full,1.0,25.42,14.9
EoMT-Cityscapes,MSP,FS_LostFound_full,1.1,25.42,14.9
EoMT-Cityscapes,MSP,FS_LostFound_full,1.5,25.43,14.9
EoMT-Cityscapes,MSP,FS_LostFound_full,2.0,25.44,14.9
EoMT-Cityscapes,MSP,fs_static,0.5,54.33,34.94
EoMT-Cityscapes,MSP,fs_static,0.75,54.34,34.94
EoMT-Cityscapes,MSP,fs_static,1.0,54.35,34.94
EoMT-Cityscapes,MSP,fs_static,1.1,54.35,34.94
EoMT-Cityscapes,MSP,fs_static,1.5,54.35,34.94
EoMT-Cityscapes,MSP,fs_static,2.0,54.36,34.93
EoMT-Cityscapes,MSP,RoadAnomaly,0.5,75.51,19.37
EoMT-Cityscapes,MSP,RoadAnomaly,0.75,75.62,19.33
EoMT-Cityscapes,MSP,RoadAnomaly,1.0,75.69,19.31
EoMT-Cityscapes,MSP,RoadAnomaly,1.1,75.71,19.3
EoMT-Cityscapes,MSP,RoadAnomaly,1.5,75.8,19.29
