Model,Method,Dataset,Temperature,AuPRC (%),FPR95 (%)
EoMT-Fine-tuned,MSP,RoadAnomaly21,0.5,58.59,98.6
EoMT-Fine-tuned,MSP,RoadAnomaly21,0.75,57.58,98.6
EoMT-Fine-tuned,MSP,RoadAnomaly21,1.0,57.15,98.61
EoMT-Fine-tuned,MSP,RoadAnomaly21,1.1,57.05,98.61
EoMT-Fine-tuned,MSP,RoadAnomaly21,1.5,56.78,98.61
EoMT-Fine-tuned,MSP,RoadAnomaly21,2.0,56.61,98.62
EoMT-Fine-tuned,MSP,RoadObsticle21,0.5,73.69,25.1
EoMT-Fine-tuned,MSP,RoadObsticle21,0.75,73.63,25.1
EoMT-Fine-tuned,MSP,RoadObsticle21,1.0,73.61,25.09
EoMT-Fine-tuned,MSP,RoadObsticle21,1.1,73.6,25.09
EoMT-Fine-tuned,MSP,RoadObsticle21,1.5,73.58,25.09
EoMT-Fine-tuned,MSP,RoadObsticle21,2.0,73.57,25.09
EoMT-Fine-tuned,MSP,FS_LostFound_full,0.5,27.07,26.22
EoMT-Fine-tuned,MSP,FS_LostFound_full,0.75,27.1,26.17
EoMT-Fine-tuned,MSP,FS_LostFound_full,1.0,27.11,26.16
EoMT-Fine-tuned,MSP,FS_LostFound_full,1.1,27.11,26.16
EoMT-Fine-tuned,MSP,FS_LostFound_full,1.5,27.12,26.16
EoMT-Fine-tuned,MSP,FS_LostFound_full,2.0,27.13,26.15
EoMT-Fine-tuned,MSP,fs_static,0.5,53.35,39.78
EoMT-Fine-tuned,MSP,fs_static,0.75,53.39,39.75
EoMT-Fine-tuned,MSP,fs_static,1.0,53.41,39.74
EoMT-Fine-tuned,MSP,fs_static,1.1,53.41,39.74
EoMT-Fine-tuned,MSP,fs_static,1.5,53.43,39.73
EoMT-Fine-tuned,MSP,fs_static,2.0,53.43,39.72
EoMT-Fine-tuned,MSP,RoadAnomaly,0.5,54.96,16.27
EoMT-Fine-tuned,MSP,RoadAnomaly,0.75,54.98,16.24
EoMT-Fine-tuned,MSP,RoadAnomaly,1.0,54.99,16.22
EoMT-Fine-tuned,MSP,RoadAnomaly,1.1,54.99,16.22
EoMT-Fine-tuned,MSP,RoadAnomaly,1.5,55.0,16.21
EoMT-Fine-tuned,MSP,RoadAnomaly,2.0,55.0,16.2
EoMT-Fine-tuned,MaxEntropy,RoadAnomaly21,0.5,54.1,98.71
EoMT-Fine-tuned,MaxEntropy,RoadAnomaly21,0.75,54.37,98.81
EoMT-Fine-tuned,MaxEntropy,RoadAnomaly21,1.0,54.49,98.82
EoMT-Fine-tuned,MaxEntropy,RoadAnomaly21,1.1,54.47,98.82
EoMT-Fine-tuned,MaxEntropy,RoadAnomaly21,1.5,54.58,98.82
EoMT-Fine-tuned,MaxEntropy,RoadAnomaly21,2.0,54.65,98.82
EoMT-Fine-tuned,MaxEntropy,RoadObsticle21,0.5,73.43,28.83
EoMT-Fine-tuned,MaxEntropy,RoadObsticle21,0.75,72.96,36.81
EoMT-Fine-tuned,MaxEntropy,RoadObsticle21,1.0,72.62,57.49
EoMT-Fine-tuned,MaxEntropy,RoadObsticle21,1.1,72.52,45.0
EoMT-Fine-tuned,MaxEntropy,RoadObsticle21,1.5,72.13,58.44
EoMT-Fine-tuned,MaxEntropy,RoadObsticle21,2.0,71.69,60.82
EoMT-Fine-tuned,MaxEntropy,FS_LostFound_full,0.5,27.91,26.21
EoMT-Fine-tuned,MaxEntropy,FS_LostFound_full,0.75,28.27,26.26
EoMT-Fine-tuned,MaxEntropy,FS_LostFound_full,1.0,28.56,26.33
